"","logFC","logCPM","LR","PValue","FDR"
"FBgn0013683",-4.54850868640742,3.18859224214645,62.8308165247772,2.25246844120971e-15,3.5476377949053e-11
"FBgn0013680",1.77726736627793,8.8785493111852,48.8899974290475,2.70727879551869e-12,2.13198205147097e-08
"RR48408_transposable_element",4.20489605832276,-0.771005838684185,38.6114796131438,5.17138656477851e-10,2.71497794650872e-06
"FBgn0013694",-2.45894116288782,-0.73754314023433,29.7694010932023,4.86612042726476e-08,0.00019160349182355
"FBti0062695",7.98770737573824,5.41393712380169,23.3724474883625,1.33476733120718e-06,0.00420451709330261
"FBgn0035412",-1.90531586271789,-3.03094515520061,18.3163774185946,1.87091837805837e-05,0.0491116074240321
"FBgn0085419",0.635427895318887,3.92872478383235,17.1876920597791,3.38623175804822e-05,0.076190214556085
"FBgn0039325",-0.826781962569079,4.3439694465457,15.5786366549622,7.91437707596948e-05,0.147174442786811
"FBgn0035914",-0.651179013073604,5.01202171425443,15.4638211755959,8.40996815924633e-05,0.147174442786811
"FBgn0013704",-1.58829249529049,0.744577308744081,12.4576713397009,0.000416278596612271,0.642373251194747
"FBti0019901",-0.597335525471436,-1.13842766846793,12.2728560185443,0.000459594361413824,0.642373251194747
"FBgn0052551",3.38594696733644,2.33552102203162,12.041631604602,0.000520254133330434,0.642373251194747
"FBgn0267957",-0.726566858359277,-1.90676095455827,11.8716918385582,0.00056993615273384,0.642373251194747
"FBti0019213",3.32632830176341,0.477673921361659,11.746408570586,0.000609607554062431,0.642373251194747
"FBgn0013676",-0.76767381488969,13.3420538839507,11.7397754396434,0.000611784048756902,0.642373251194747
"FBgn0034103",2.78564993142953,0.830471824127557,11.5393843628985,0.000681371993962828,0.64297791700745
"FBti0020101",2.60540880335615,1.53125465474078,11.4514205547139,0.000714393658346611,0.64297791700745
"FBgn0053696",-0.761818068860768,2.67436702091425,11.3158626534317,0.000768477506594727,0.64297791700745
"FBgn0052198",-5.76674335383037,-2.53346039603049,11.2985991993555,0.000775655899882003,0.64297791700745
"FBti0019353",3.85452208659732,-2.03733049663716,11.2024405712565,0.000816898205193127,0.643307336589587
"FBgn0013697",-2.19194062084626,-0.845779726838876,11.0407662547979,0.000891300147578925,0.65945471098838
"FBgn0027584",-1.21966816921012,4.82356632197408,10.9797207521014,0.000921143088364722,0.65945471098838
"FBgn0033667",0.929173339354651,-0.375252075861526,10.6052657281634,0.00112766050219633,0.772202300417052
"FBgn0053639",1.16529355962627,3.1717425669364,10.2987981532721,0.00133116878730717,0.873579516670329
"FBgn0032181",-1.53441818636834,2.96302659976641,9.84783268582137,0.00170031963394306,1
"FBgn0085380",-0.672403671578377,4.35829945126425,9.7999597732948,0.0017451568740276,1
"FBgn0013696",2.37929781503945,-1.22659937920712,9.15959975777643,0.00247416677993418,1
"FBgn0033578",1.4845302771315,0.763498959978566,9.0734124191286,0.00259352638363869,1
"FBgn0265446",-1.25388984017118,-3.39754465544082,9.05063281339547,0.00262603911388993,1
"FBgn0038865",-0.559202546083146,5.24585930220326,8.68225527073986,0.00321323119721654,1
"FBgn0004783",-0.649143746440938,-2.3144214643076,8.594975612137,0.00337091727483213,1
"FBti0060973",0.923301372727192,-0.718811294442758,8.30459525252429,0.0039544894245098,1
"FBgn0264548",-2.92277297615808,-2.26145871818991,8.18449186241567,0.00422500115427815,1
"FBgn0266251",3.87580617890274,-1.41817166746667,7.85530498850463,0.00506718038395683,1
"FBgn0262150",-0.531283498595307,3.9598230556341,7.61498692314619,0.00578851787620856,1
"FBgn0262952",0.605695760762768,10.6720749391611,7.6096946950455,0.00580553126674241,1
"FBgn0034965",0.759122923102491,1.12869982430631,7.46042287764004,0.00630701888568135,1
"FBgn0264393",2.81749025265679,2.37613324823824,7.44191864714681,0.00637219218581925,1
"FBgn0038508",1.34484039773563,-2.59308046065027,7.43023081330013,0.00641371147681049,1
"FBgn0032281",-0.769962717883406,1.84567849992993,7.40417978843988,0.00650725056409422,1
"FBgn0039286",-1.00815972895842,1.46917293206379,7.38938308140814,0.00656099882045343,1
"FBti0062211",1.10801133223528,-1.72164129764561,7.37929138235633,0.00659791619011617,1
"FBgn0013687",-2.63206674306327,-1.75222296748336,7.33043328455641,0.00677967087645294,1
"FBgn0038236",-0.541130814402126,7.42701722567367,7.30598648254286,0.00687252564245641,1
"FBti0060002",2.19706491971385,-2.15581827468618,7.29136709040641,0.00692867322661177,1
"FBgn0036503",1.37864830552195,-2.48544823307044,7.28228392223738,0.00696379404914925,1
"FBgn0037788",-0.349996475599337,5.92024908852246,7.27682735608615,0.00698497970009014,1
"FBti0019187",-4.01921884212029,0.179314919495447,7.15206184798308,0.00748778565533426,1
"FBgn0029977",2.01071301779474,-1.96669849653783,6.99479862456683,0.00817469047194152,1
"FBgn0003011",-0.704939869288053,2.68380037928327,6.97083133276709,0.00828489977549888,1
"FBgn0264832",-0.866505027299561,-2.97075055203974,6.87775563221584,0.00872750892046406,1
"FBgn0051313",-0.501175853078427,6.28083896481812,6.67244797158929,0.00979146099122337,1
"FBti0062040",-0.636367973695684,0.830478977051767,6.64800929854854,0.00992666717087111,1
"FBgn0013689",1.0134506524106,0.452972070443704,6.63256242915162,0.0100131119712776,1
"FBti0061678",0.981647318802363,-1.44269029157896,6.60414308825375,0.01017417545136,1
"FBgn0013433",-0.735885696934591,3.1412185291408,6.59278067417229,0.0102393116382767,1
"FBti0061108",3.62809495080519,-2.74381931856252,6.48489311985878,0.0108795080365411,1
"FBgn0263468",1.27187790734996,-1.45310026815796,6.42118215378527,0.011276707099763,1
"FBgn0031942",0.669901714682732,3.19031850973558,6.40938656268557,0.0113518627077574,1
