"","logFC","logCPM","LR","PValue","FDR"
"FBgn0013680",2.15212421934307,8.8785493111852,69.9161520397369,6.187967166012e-17,9.7460482864689e-13
"FBgn0036970",3.69132077866423,6.21433951377677,67.72752964539,1.87724057023654e-16,1.14473274861158e-12
"FBgn0036969",5.65658971326344,5.5042754071755,67.4323266221485,2.18044333068872e-16,1.14473274861158e-12
"FBgn0013683",-4.20125086602422,3.18859224214645,56.1046074302037,6.87158973846112e-14,2.70568845951906e-10
"FBti0019174",4.16541379437243,-0.611385851755771,49.5718600352727,1.91237098544788e-12,5.15737557961646e-09
"FBgn0037483",3.24420602512797,4.09225080511639,49.5188836902738,1.96471450652056e-12,5.15737557961646e-09
"FBgn0085315",4.93453250063292,1.73708454119773,46.5464095782592,8.9474043957466e-12,2.01316598904298e-08
"FBgn0037759",3.17391661198687,5.24283585183992,45.7583841227669,1.33775558675302e-11,2.63370631142e-08
"FBgn0039521",4.79382373835821,5.04282904199113,44.4740789273527,2.57747300012296e-11,4.51057775021518e-08
"FBgn0040674",4.64644700919166,1.68045189040583,42.2504803386613,8.03002865443302e-11,1.25561754218662e-07
"FBgn0036070",3.10281192469937,1.78579743576166,42.0782325472506,8.7693923581288e-11,1.25561754218662e-07
"FBgn0262547",6.75948743450292,5.12335890658307,41.82158274773,9.9993536449739e-11,1.31241516590282e-07
"FBgn0000094",6.11116292159681,5.6866962576574,41.2811106669805,1.3183675694681e-10,1.59725301685558e-07
"FBgn0028942",3.56894293265234,1.50117400505833,40.0303922192169,2.50042056432053e-10,2.79878282296852e-07
"FBgn0035138",2.71332796591415,1.84116964895057,39.9055061165596,2.66550745044621e-10,2.79878282296852e-07
"FBgn0029752",2.90236413907002,5.69136141330921,38.437782368795,5.6527357753907e-10,5.56441177890022e-07
"FBgn0036785",3.56211330422812,4.65438588021867,37.7360300008808,8.09946783656868e-10,7.50391873093863e-07
"FBgn0036941",3.59658872207801,3.02081729980941,37.2636432361749,1.03190540717107e-09,8.66266884966106e-07
"FBgn0051538",2.07798342140739,6.56735829087095,37.2390141552802,1.04502036916546e-09,8.66266884966106e-07
"FBgn0263767",7.12046447186083,3.92653292358046,36.619359813473,1.4359846094992e-09,1.13083787998062e-06
"FBti0062695",11.5130134810151,5.41393712380169,36.4680439312722,1.55189803817512e-09,1.15311108750113e-06
"FBgn0267689",1.66557861439167,4.30418670225649,36.3308174620425,1.66510021328856e-09,1.15311108750113e-06
"FBgn0250832",6.03286856589492,6.54450466004161,36.3089265744451,1.68390825476355e-09,1.15311108750113e-06
"FBgn0038598",2.43466835860175,5.49999378292468,35.6094964151945,2.41109275133721e-09,1.58227961806504e-06
"FBgn0029809",4.69812410044967,0.668888693473756,35.4741780311557,2.5845421236754e-09,1.6282615379155e-06
"FBgn0035988",2.6579453277006,6.85735971004277,35.3604131810582,2.7399970318881e-09,1.65980589431683e-06
"FBgn0031751",3.29597385029499,6.36988189308159,35.0293579333147,3.247716162908e-09,1.89317274524526e-06
"FBgn0039491",1.98760075656924,3.45126333962252,34.9599100568053,3.36564043599157e-09,1.89317274524526e-06
"FBgn0031108",2.65674446347242,3.30831624860318,34.5344616059174,4.18771145605555e-09,2.2743605321681e-06
"FBgn0052026",2.7461908632786,4.97598175716561,34.3301799928517,4.65112950789186e-09,2.44184299164323e-06
"FBgn0262682",2.93851788055005,2.51556369291734,34.2203431398638,4.92118136952044e-09,2.50027763128861e-06
"FBgn0039797",3.7183162777628,4.76090699249995,33.8624841964279,5.91483220319043e-09,2.83059558036213e-06
"FBgn0085454",3.46400156390542,3.61929235935563,33.8572483926632,5.93077169218732e-09,2.83059558036213e-06
"FBgn0036016",3.54987638508643,3.07701805277743,33.7773190665629,6.17951286901121e-09,2.86256846138019e-06
"FBgn0035139",2.52559770576946,3.0985100200306,33.5152013334607,7.07091889635918e-09,3.18191350336163e-06
"FBgn0262687",3.72405156472082,3.1706116367804,33.4029012608648,7.49121293605899e-09,3.1868935127218e-06
"FBgn0031729",3.32425788062451,1.41092792413812,33.3658809092613,7.63517797813415e-09,3.1868935127218e-06
"FBgn0265267",3.29742860554947,4.05902203165644,33.3522166681682,7.68901291958275e-09,3.1868935127218e-06
"FBgn0261349",1.69969936083339,3.87668653934842,33.214110117808,8.25493500782120e-09,3.32657723739218e-06
"FBgn0032061",2.4924275807732,5.45301333555283,33.1690523849911,8.44845012671029e-09,3.32657723739218e-06
"FBgn0038952",1.2307738824944,4.82687716438925,33.0426946527702,9.01571652285561e-09,3.37284651104642e-06
