"","logFC","logCPM","LR","PValue","FDR"
"FBgn0013680",2.07788524976045,8.8785493111852,65.506359341188,5.79267447735539e-16,9.12346230183474e-12
"FBgn0013683",-4.26577388701763,3.18859224214645,55.6384083869333,8.7105034615674e-14,6.85952147598433e-10
"FBgn0028887",4.16734043872054,2.1320494146788,43.6735085859365,3.87988354393659e-11,2.03693886056671e-07
"RR48408_transposable_element",3.54264093986161,-0.771005838684185,38.3134155487198,6.02470356761067e-10,2.3722270297467e-06
"FBti0062695",10.2970609220062,5.41393712380169,31.7211250843978,1.77975729221686e-08,5.6062354704831e-05
"FBgn0034063",-0.634092745963324,4.29737523041963,28.6300713217782,8.76110055491601e-08,0.00020188689790183
"FBgn0035969",2.96532212659841,3.90311776668735,28.5838484373038,8.97275101785911e-08,0.00020188689790183
"FBgn0013687",-5.64385567535272,-1.75222296748336,24.4770372580755,7.52007617102545e-07,0.00132882024697356
"FBti0019353",5.53717245967706,-2.03733049663716,24.4583783316179,7.59325855413464e-07,0.00132882024697356
"FBgn0036781",2.20489397027981,-1.55014478010083,23.6198440671254,1.17370865300262e-06,0.00184859112847913
"FBgn0013697",-2.87163753184409,-0.845779726838876,19.7683723456991,8.74173119926356e-06,0.0124024395656399
"FBgn0262952",0.978144207533599,10.6720749391611,19.6196013170456,9.4494777642971e-06,0.0124024395656399
